  UID     PID    PPID %MEM CMD
 1000  802301  802270  0.0       /usr/bin/bwrap --args 21 -- /usr/lib/aarch64-linux-gnu/webkit2gtk-4.0/WebKitWebProcess 11 14
 1000  802302  802301  0.0         /usr/bin/bwrap --args 21 -- /usr/lib/aarch64-linux-gnu/webkit2gtk-4.0/WebKitWebProcess 11 14
 1000  802303  802302  1.6           /usr/lib/aarch64-linux-gnu/webkit2gtk-4.0/WebKitWebProcess 11 14
    0    1249       1  0.1   /usr/lib/upower/upowerd
  120    1363       1  0.2   /usr/bin/whoopsie -f
  116    1371       1  0.0   /usr/sbin/kerneloops --test
  116    1381       1  0.0   /usr/sbin/kerneloops
 1000    1775       1  0.1   /usr/bin/gnome-keyring-daemon --daemonize --login
 1000   65079    1775  0.1     /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
    0  662887       1  0.0   /usr/sbin/uservd -daemon
    0  732512       1  0.4   /usr/sbin/NetworkManager --no-daemon
    0  783869       1  0.3   /usr/sbin/cupsd -l
    0  783871       1  0.3   /usr/sbin/cups-browsed
